ShortWindow,LongWindow,FinalCapital,MaxDrawdown,SharpeRatio
 35, 190,2384697.44,0.205263,1.300325
 35, 200,2375152.71,0.185537,1.289491
 40, 50,2381722.69,0.303925,1.056811
 40, 60,2719376.40,0.331340,1.206450
 40, 70,2695097.77,0.309664,1.196211
 40, 80,2659709.18,0.288298,1.181912
 40, 90,2811319.02,0.274266,1.261939
 40, 100,3050862.98,0.266391,1.342592
 40, 110,2945995.22,0.244527,1.315570
 40, 120,3041039.03,0.213391,1.364766
 40, 130,2905922.98,0.201707,1.337866
 40, 140,2961664.24,0.203748,1.388366
 40, 150,2836939.45,0.197633,1.370682
 40, 160,2735779.18,0.195931,1.361764
 40, 170,2529010.95,0.195612,1.269275
 40, 180,2655730.97,0.191767,1.383760
 40, 190,2348807.59,0.206769,1.276248
 40, 200,2373266.98,0.173912,1.299002
 45, 50,2699319.16,0.266724,1.188552
 45, 60,2853964.30,0.324888,1.230768
 45, 70,2731449.24,0.308163,1.191799
 45, 80,3010569.12,0.294199,1.301647
 45, 90,3018636.41,0.263057,1.334295
 45, 100,3443299.53,0.227301,1.456522
 45, 110,3116676.30,0.238554,1.370180
 45, 120,3221461.38,0.214372,1.401561
 45, 130,3068830.37,0.201911,1.392807
 45, 140,2980942.10,0.201052,1.385996
 45, 150,2939736.27,0.200380,1.396036
 45, 160,2830555.91,0.194681,1.383124
 45, 170,2451092.03,0.189678,1.246058
 45, 180,2710551.18,0.189142,1.397513
 45, 190,2516043.96,0.181956,1.339951
 45, 200,2363615.10,0.175036,1.286368
 50, 60,3258040.33,0.300000,1.356380
 50, 70,3009117.63,0.318362,1.293919
 50, 80,2844125.62,0.280608,1.266803
 50, 90,3260350.72,0.245828,1.390653
 50, 100,3315337.25,0.229316,1.433983
 50, 110,3479474.02,0.221360,1.444066
 50, 120,3368524.30,0.211064,1.432222
 50, 130,2956268.22,0.198644,1.357902
 50, 140,3021029.19,0.200871,1.401910
 50, 150,2900052.78,0.195752,1.388750
 50, 160,2789234.22,0.194273,1.367812
 50, 170,2619668.47,0.188161,1.326886
 50, 180,2725378.18,0.184827,1.408511
 50, 190,2505901.87,0.184565,1.326517
 50, 200,2348927.45,0.174146,1.286117
