RSIPeriod,BollingerWindow,MomentumPeriod,FinalCapital,MaxDrawdown,SharpeRatio
20,45,10,1000000.00,0.000000,0.000000
20,45,15,1000000.00,0.000000,0.000000
20,45,20,1000000.00,0.000000,0.000000
20,45,25,1000000.00,0.000000,0.000000
20,45,30,1673409.67,0.749653,0.470451
20,50,10,1000000.00,0.000000,0.000000
20,50,15,1000000.00,0.000000,0.000000
20,50,20,1000000.00,0.000000,0.000000
20,50,25,1000000.00,0.000000,0.000000
20,50,30,1673409.67,0.749653,0.471441
25,10,10,1000000.00,0.000000,0.000000
25,10,15,1000000.00,0.000000,0.000000
25,10,20,485484.73,0.661542,-0.279031
25,10,25,1000000.00,0.000000,0.000000
25,10,30,1000000.00,0.000000,0.000000
25,15,10,1000000.00,0.000000,0.000000
25,15,15,1000000.00,0.000000,0.000000
25,15,20,485484.73,0.661542,-0.279031
25,15,25,1000000.00,0.000000,0.000000
25,15,30,1000000.00,0.000000,0.000000
25,20,10,1000000.00,0.000000,0.000000
25,20,15,1000000.00,0.000000,0.000000
25,20,20,1000000.00,0.000000,0.000000
25,20,25,1000000.00,0.000000,0.000000
25,20,30,1000000.00,0.000000,0.000000
25,25,10,1000000.00,0.000000,0.000000
25,25,15,1000000.00,0.000000,0.000000
25,25,20,1000000.00,0.000000,0.000000
25,25,25,1000000.00,0.000000,0.000000
25,25,30,1000000.00,0.000000,0.000000
25,30,10,1000000.00,0.000000,0.000000
25,30,15,1000000.00,0.000000,0.000000
25,30,20,1000000.00,0.000000,0.000000
25,30,25,1000000.00,0.000000,0.000000
25,30,30,1000000.00,0.000000,0.000000
25,35,10,1000000.00,0.000000,0.000000
25,35,15,1000000.00,0.000000,0.000000
25,35,20,1000000.00,0.000000,0.000000
25,35,25,1000000.00,0.000000,0.000000
25,35,30,1000000.00,0.000000,0.000000
25,40,10,1000000.00,0.000000,0.000000
25,40,15,1000000.00,0.000000,0.000000
25,40,20,1000000.00,0.000000,0.000000
25,40,25,1000000.00,0.000000,0.000000
25,40,30,1000000.00,0.000000,0.000000
25,45,10,1000000.00,0.000000,0.000000
25,45,15,1000000.00,0.000000,0.000000
25,45,20,1000000.00,0.000000,0.000000
25,45,25,1000000.00,0.000000,0.000000
25,45,30,1000000.00,0.000000,0.000000
25,50,10,1000000.00,0.000000,0.000000
25,50,15,1000000.00,0.000000,0.000000
25,50,20,1000000.00,0.000000,0.000000
25,50,25,1000000.00,0.000000,0.000000
25,50,30,1000000.00,0.000000,0.000000
30,10,10,1000000.00,0.000000,0.000000
30,10,15,1000000.00,0.000000,0.000000
30,10,20,2304563.35,0.581117,0.695663
30,10,25,1000000.00,0.000000,0.000000
30,10,30,1000000.00,0.000000,0.000000
30,15,10,1000000.00,0.000000,0.000000
30,15,15,1000000.00,0.000000,0.000000
30,15,20,1000000.00,0.000000,0.000000
30,15,25,1000000.00,0.000000,0.000000
30,15,30,1000000.00,0.000000,0.000000
30,20,10,1000000.00,0.000000,0.000000
30,20,15,1000000.00,0.000000,0.000000
30,20,20,1000000.00,0.000000,0.000000
30,20,25,1000000.00,0.000000,0.000000
30,20,30,1000000.00,0.000000,0.000000
30,25,10,1000000.00,0.000000,0.000000
30,25,15,1000000.00,0.000000,0.000000
30,25,20,1000000.00,0.000000,0.000000
30,25,25,1000000.00,0.000000,0.000000
30,25,30,1000000.00,0.000000,0.000000
30,30,10,1000000.00,0.000000,0.000000
30,30,15,1000000.00,0.000000,0.000000
30,30,20,1000000.00,0.000000,0.000000
30,30,25,1000000.00,0.000000,0.000000
30,30,30,1000000.00,0.000000,0.000000
30,35,10,1000000.00,0.000000,0.000000
30,35,15,1000000.00,0.000000,0.000000
30,35,20,1000000.00,0.000000,0.000000
30,35,25,1000000.00,0.000000,0.000000
30,35,30,1000000.00,0.000000,0.000000
30,40,10,1000000.00,0.000000,0.000000
30,40,15,1000000.00,0.000000,0.000000
30,40,20,1000000.00,0.000000,0.000000
30,40,25,1000000.00,0.000000,0.000000
30,40,30,1000000.00,0.000000,0.000000
30,45,10,1000000.00,0.000000,0.000000
30,45,15,1000000.00,0.000000,0.000000
30,45,20,1000000.00,0.000000,0.000000
30,45,25,1000000.00,0.000000,0.000000
30,45,30,1000000.00,0.000000,0.000000
30,50,10,1000000.00,0.000000,0.000000
30,50,15,1000000.00,0.000000,0.000000
30,50,20,1000000.00,0.000000,0.000000
30,50,25,1000000.00,0.000000,0.000000
30,50,30,1000000.00,0.000000,0.000000
